;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
61;Bonne tenue et comme annoncé, sans résidus, ne colle pas! Impeccable! Je le recommande !;0.06382500051978171;0.001661612639357375;0.004425586479029337;0.0;0.0;0.0;0.00015318183888647603;0.0;0.0002923220249751385;0.00019512158974917954;0.0001678202455434433;0.005344423344716227;0.000517605830192714;0.0;0.010117763051354846;0.009182219988460963;0.0011285175884301567;0.0014957821396525824;0.0
62;Bonne tenue des cheveux mais ne colle pas.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;Très facile à utiliser;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26739772072123064;0.0;0.0;0.0;0.0;0.0;0.29094898795746416;0.0;0.0;0.0;0.0
64;Achat conforme.;0.0;0.0013855643616462758;0.0;0.0;0.20212493714264554;0.01324284293495494;0.0005550576239047614;0.0013414215159498575;0.0;0.0005718262892511065;0.0;0.0028005556480430183;0.0;0.0;0.0;0.0006030468342650053;0.00027679662267718536;0.0077258984975851555;0.0019304633488078456
65;Juste parfait;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;Il sent bon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67;Il est grand !;0.0;0.001143390355851627;0.0;0.0;0.0;0.0;0.0007877559632649224;0.0015754127219258542;0.0;0.0013306593667625009;0.0;0.0;0.0;0.0;0.0;0.04188653364944694;0.0;0.0;0.034783865738452394
68;Le pot dur assez longtemps avec un lavage quotidien! Protégé parfaitement  les cheveux;0.0;0.0;0.0015045226120533354;0.0;0.00020432948013025289;0.0;0.0;0.00022330421213805752;0.0001895450480517937;0.0021097405228244826;0.008788868113697404;0.0013728406317990462;5.51972942971527e-05;0.0;0.0004188738359767432;0.03433923590437897;0.00039826619610653;0.0;0.000884477757111843
69;-Re-Pigmenter les cheveux selon sa couleur naturelle....;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20003206461750286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71;J'avoue qu'avant d'essayer le produit je n'étais pas convaincu ... D'autant que cela n'étais pas évident puisque la notice donne quelques contre indications... dont une qui me concerne ...les cheve;0.0;0.0;0.0;0.0007499184998759098;5.885643344373758e-05;0.0;0.0003721276049074231;4.935621012920071e-05;0.0;0.0;0.0020354727389781217;2.8534105604988064e-05;0.0001483718191080253;0.0026517974308497417;0.0;0.020298729835257618;0.0026670037119004473;0.0060212022770366165;0.0
72;il avait arreté la vente au supermarché et il était les mieux placé niveau prix, bon il on repris en supermarché et là par contre ce n'est plus avantageux de le prendre en ligne;0.0001263043602325472;0.02847818505264222;0.0;0.0;0.0;8.950941504340462e-05;0.0005132623366414368;1.902070608104076e-05;0.0005794489531666203;0.0;0.0004991367175962496;0.0003706792733574314;0.0016144536479889486;0.0014848996331484525;0.0;0.017532112160652747;0.001429627944440303;0.0007807931885737664;8.604793410844767e-05
73;rien à dire sur la qualité prouvé de ce produit pour se faire des yeux de biche;5.775812353734813e-05;0.0;0.0;0.0;0.0;0.0;0.10114497944011312;0.0;0.0;0.0;0.0011594321697029394;0.0;0.0;0.0;0.0014400135114111048;0.006659211421220046;0.0;0.0;0.0
74;ce produit et tous a fait se que j'attendais,  ayant pris le meme produit au coiffeur est l'ayant payé plus cher , je recommande le produit.;5.768837545751519e-05;0.00149375069862286;1.7070463163642846e-05;0.0;0.002830746242178748;0.00026196216140882264;0.0008043038339959919;0.0;5.927072641644719e-05;9.411751674140533e-05;0.004085584038574478;0.0019035193001822324;0.0;0.0024498712559105967;0.00242190813627605;0.033024948882239;0.0;0.000828582115975587;0.0019802606893766874
75;le seul petit  b-mol c'est que ce shampooing a tendance à bleuir légèrement les mains lorsqu'on l'utilise mais ça part rapidement sinon y a pas mieux pour déjaunir! parole de coiffeuse!;0.00018362103906980107;0.0022251212573188572;0.00011869802095973801;0.0;0.0;0.0004405054481877599;0.0;0.0;0.0019563265892707862;0.0;0.0;0.0;0.0;0.0016632678532854804;0.0;0.07075797644694236;0.0023159294787395875;0.024582330736053863;0.0028253582308146465
76;Acheté en une si généreuse quantité , calculez à combien ce produit vous revient s'il est acheté chez un coiffeur ( introuvable ailleurs en petite quantité ) , vous aurez vite compris que chez AMAZON , il n'y a pas mieux rapport qualité/prix ,avec envoi rapide et soigné.;0.0;0.04778304974523227;0.002740889018989001;0.0;0.0;0.0;0.04564103878641804;0.0010430134973324742;0.0007609636564962251;0.0;0.0;0.07156808313847399;0.0;0.00010045443109250628;0.0;0.046143724850247106;0.0058910281031979116;0.0012316048214696515;0.0120506552348809
77;Livré rapidement et tout à fait conforme au produit acheté précédemment en salon.;0.0;0.001510266564057656;0.0;0.0010367937938355791;0.09763683727499593;0.0;2.745010496437076e-05;0.00038006547804097363;0.0014139255356771345;0.0;0.0;0.0;0.0;0.0;0.0;0.0160618546269635;0.004650178303413071;0.04729768779738728;0.005290086370385357
78;L'hydratation et la nutrition font de se produit un best-seller à avoir absolument pour reconstruire parfaitement les fibres capillaires.;0.00027207915751186693;0.0;0.0009245042994596202;0.0010712278732786867;0.00037902976730648654;0.0;0.0;0.0;0.0;0.0;0.003112205065169211;0.00033854988981524845;0.0011424000796789082;0.0011464822338058877;0.0;0.008949166931399374;0.0011816174297240554;0.0;0.0013071472707890852
79;Je recommande fortement.;0.13470444952619093;0.00011030314322194008;0.0;0.0;0.0;0.0;0.0009687249464514653;0.0;0.0002867830848010857;0.0009217626526409043;9.851403146715568e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.00192657527227116;0.0013465705731502834
80;mon coiffeur me l a conseillé pour mes mes mèches;0.0006756642726877968;0.002401551560000476;0.0;0.0;0.0004382424290206255;0.0;0.0020737384242416174;0.0;0.00621318449348999;0.0;0.014038373577336226;0.006592545824395411;0.001109486990662251;0.005141457464708987;0.0;0.04201258367295657;0.0026437142031996703;0.0;0.0
