;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
59;acheteur;0.0;0.0022847431738466997;0.0;0.0;0.0;0.0;0.0;0.0;0.00034188401568981445;0.0;0.0;0.007231459588355585;0.0;0.0;0.0;0.0014002206615163627;0.0;0.0005543450905116587;0.0
60;achetez;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006634080112531343;0.0;0.0032952603066744163;9.196992746862839e-05;0.0;0.0
61;achette;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011086486525769875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62;achetée;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006997540219247773;0.0025250115976581545;3.3222992541620705e-05;0.0;0.0;0.001220831413245909;0.0;0.0001782911149386969;0.004463735686829549
63;achète;0.00252677586935394;0.003489598771696762;0.0;0.0;0.0;0.012196013559512449;0.0;0.0;0.013359723032799304;0.0;0.0;0.0;0.0;0.0;0.0;0.07043459223389593;0.0;0.015993086167129546;0.0
64;achèterai;0.0;0.004220636933413295;0.0010743752618349255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024525229825462795;0.0;0.0;0.0018913150985256128;0.0026433845706451374;0.0;0.00013941417384825174;0.000992956371887409
65;achété;0.0;0.007413665529186969;0.0;0.0;0.0032011949503989523;0.00699615893324698;0.0;0.0;1.3305296635045068e-05;0.0;0.0004794834835935845;0.0;0.0;0.0;0.0;0.0009584989314631694;0.0;0.0;0.0
66;acidité;0.0;0.0;0.0;0.0027397267337807077;0.0;0.0;0.0;0.0;0.0;0.0;0.00018474070481466529;0.0;0.0;0.0;0.000710452455677811;0.0013857951098872033;0.0;0.0;0.0
67;acné;0.0;0.0;0.0;0.013375338362934686;0.0;0.0;0.0;0.0;0.0;0.009105265171748254;0.0;0.0;0.0;0.00033538940566634775;0.0;0.007808261995278628;0.0;0.0;0.0011405833399487687
68;acnéique;0.0;0.0007468995802812973;0.0;0.003531562786650187;0.0;0.0;0.0;0.0;0.0013943954981596874;0.0;0.0;0.0;0.0;0.0;0.0002100873817450809;0.0036814151826184147;0.0;0.0;0.0
69;acnés;0.0;0.0;0.0;5.29196722295775e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.00035779310836984616;0.0;0.0;0.0;0.0001520930997655869;0.0010429317604292137;0.0;0.0;0.0
70;acquiert;0.0;0.0027570725272281133;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005383521236855416;0.0001193819690772816;0.0;0.0;0.0008295526060499141
71;acquis;0.0008967731835028891;0.005647433441132555;0.0;3.395261379401862e-05;0.0;0.0;0.0;0.0;3.904411153274009e-05;0.0;0.0005914416825614714;0.0;0.0;0.0;0.0;0.0;0.0;0.00017399277271225072;0.0
72;acquérir;0.0;0.00012839396093595294;0.0;0.0;1.3499415955833055e-05;9.910966243645235e-05;0.0;0.0;0.0;5.7526070571760205e-06;2.3079847558713267e-05;0.00014787245868207738;0.0;0.0;0.0;0.0005781304653739537;0.0;0.0005599780657204695;1.5471316952935938e-05
73;actualise;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00013009099382006414;0.0;0.0;0.00207621840795675;5.223910102434329e-05;0.0;0.0;0.0
74;actuel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012070443221129249;0.0;0.0;0.0
75;actuellement;0.0;0.0028013147246613687;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01444486512785684;0.00023603971172653348;0.0024827735371160233;0.0;0.0;0.0
76;adapte;0.0;0.0;0.0;0.013161630730569739;0.0;0.0;0.0;0.0;0.0066061406104084884;0.0;0.00755678021271838;0.0029681963421937913;0.0;0.0;0.0;0.020372822748756986;0.0;0.0004363682867690031;0.0003355649809662348
77;adaptent;0.0;4.1859242564439685e-05;0.0;0.0;0.0;0.0;0.0;0.009365134054189279;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0025378563490513497;0.0;0.0;0.0007185000316862805
78;adapter;0.0;0.003607890292910123;0.0;0.0275651640840525;0.0;0.004516590138005925;0.007709040261094307;0.0;0.0;0.014743993903049516;0.012134967842176114;0.0;0.0024653856716250334;0.013307045466481093;0.001544657418539482;0.01859937977942933;0.0028716543628433755;0.014682167894802992;0.0
79;adapté;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00886620403900506;0.010454889680922888;0.0037567576201573555;0.0;0.0022333367279706155;0.0
80;adepte;0.005635231942918042;0.0;0.0;0.0019522672992252652;0.0;0.0;0.0;0.0;0.0;0.0039373983339236;0.00260385147965422;0.0;0.0020918301266918834;0.0051663108380243785;0.0;0.02552636185040538;0.0;0.0;0.0
81;adeptes;0.0;0.0;0.0;0.004033274746241545;0.0;0.0;0.0;0.0;0.0018958522500990697;0.0;0.0;0.0;0.0;0.0;0.0;0.0010225783088934901;0.0;0.0;0.0007039519575470627
82;adhère;0.0;0.002883605076043784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003731217892376;0.0027550707895863964;0.0;0.0;0.003010603538273263
83;adhérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0035147098247399642;0.0;0.0;0.0
84;adhésion;0.0;0.0;0.0;0.003188687060573726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004903369579627306;0.0;0.0009466306773234055;0.0
85;adict;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002421720130977321;0.0;0.0;0.0
